fullInfo,itemName,skinName,skinRarity,floatValue,price,tradeLock,skinDiscount,webpage,previewImage
★ Butterfly Knife | Slaughter (Factory New),Butterfly Knife,Slaughter,Factory New ★ Covert Knife,0.034,910.00,Tradable,− 15%,https://skinport.com/item/butterfly-knife-slaughter-factory-new/4293746,https://steam.skinport.com/economy/image/class/730/520101595/256x128
★ Bayonet | Doppler (Factory New),Bayonet,Doppler (Phase 2),Factory New ★ Covert Knife,0.021,388.06,5 days,− 39%,https://skinport.com/item/bayonet-doppler-factory-new/4432423,https://steam.skinport.com/economy/image/class/730/720437240/256x128
★ Bayonet | Doppler (Factory New),Bayonet,Doppler (Phase 1),Factory New ★ Covert Knife,0.034,394.27,Tradable,− 26%,https://skinport.com/item/bayonet-doppler-factory-new/2795056,https://steam.skinport.com/economy/image/class/730/721208803/256x128
Glock-18 | Fade (Factory New),Glock-18,Fade (82%) ,Factory New Restricted Pistol,0.014,,Tradable,− 15%,https://skinport.com/item/glock-18-fade-factory-new/4266716,https://steam.skinport.com/economy/image/class/730/4503055431/256x128
AWP | The Prince (Field-Tested),AWP,The Prince,Field-Tested Covert Sniper Rifle,0.190,2199.00,Tradable,− 14%,https://skinport.com/item/awp-the-prince-field-tested/4321789,https://steam.skinport.com/economy/image/class/730/4568919793/256x128
★ Karambit | Gamma Doppler (Factory New),Karambit,Gamma Doppler (Phase 2),Factory New ★ Covert Knife,0.009,1249.00,Tradable,− 28%,https://skinport.com/item/karambit-gamma-doppler-factory-new/4337910,https://steam.skinport.com/economy/image/class/730/4569881774/256x128
M4A4 | Howl (Minimal Wear),M4A4,Howl ,Minimal Wear Covert Rifle,0.105,,4 days,− 15%,https://skinport.com/item/m4a4-howl-minimal-wear/4415359,https://steam.skinport.com/economy/image/class/730/3961087064/256x128
★ Bayonet | Doppler (Factory New),Bayonet,Doppler (Phase 4),Factory New ★ Covert Knife,0.007,361.08,Tradable,− 40%,https://skinport.com/item/bayonet-doppler-factory-new/4231873,https://steam.skinport.com/economy/image/class/730/4563142682/256x128
★ M9 Bayonet | Tiger Tooth (Factory New),M9 Bayonet,Tiger Tooth,Factory New ★ Covert Knife,0.034,375.50,60 hours,− 28%,https://skinport.com/item/m9-bayonet-tiger-tooth-factory-new/4384819,https://steam.skinport.com/economy/image/class/730/720682916/256x128
★ M9 Bayonet | Doppler (Factory New),M9 Bayonet,Doppler (Phase 3),Factory New ★ Covert Knife,0.048,418.84,Tradable,− 32%,https://skinport.com/item/m9-bayonet-doppler-factory-new/4065814,https://steam.skinport.com/economy/image/class/730/4528717422/256x128
